1,Test,0,1.552,0.38569,desierto
2,Alcohol,1,1.3447,0.72401,bebidas
3,Avion,1,2.9894,1.3985,vuelos
4,Barco,0,2.3513,0.88212,marinero
5,Biblioteca,0,1.2953,1.7482,archivos
6,Campo,0,1.2467,0.58181,granja
7,Cementerio,0,1.0743,0.5199,muerte
8,Circo,1,1.6213,0.81293,circo
9,Cocina,0,1.7886,0.91763,cocina
10,Comida,0,1.0254,0.68108,comida
11,Computadora,1,1.2339,0.90523,computacion
12,Desayuno,0,2.1366,0.54722,desayuno
13,Equipo,1,3.0954,1.3238,amistad
14,Espacio,0,1.3709,0.71646,espacion
15,Fiesta,1,2.7161,1.1357,festejos
16,Fuego,0,1.4288,1.3582,fuego
17,Granjero,0,4.1112,0.65972,granja
18,Guerra,1,1.2381,0.80509,guerra
19,Laboratorio,0,1.7227,0.83826,ciencia
20,Lluvia,0,2.7462,0.91634,agua
21,Medico,1,1.7262,0.73783,medicina
22,Navidad,1,1.8334,0.59307,festejos
23,Pintor,1,1.6814,0.91032,pintura
24,Plomero,1,1.5013,0.79372,plomeria
25,Robo,0,0.89541,0.95942,banco
26,Television,1,2.2653,0.67905,television
