1,Test,0,2.3379,0.28518,desierto
2,Alcohol,0,3.58,0.28537,bebidas
3,Avion,0,1.1814,0.4687,vuelo
4,Barco,1,1.3273,0.20285,guerra
5,Biblioteca,1,1.1446,0.95346,biubb
6,Campo,0,1.364,0.16573,granja
7,Cementerio,0,1.1437,0.28992,muerte
8,Circo,0,2.8793,0.91458,mago
9,Cocina,0,0.84415,0.38786,chef
10,Comida,1,2.0183,0.70388,chatarra
11,Computadora,0,2.2321,0.53611,tecnolofgia
12,Desayuno,0,0.88393,0.20919,desayuno
13,Equipo,0,1.3326,0.60147,playa
14,Espacio,1,3.8821,0.50903,espacio
15,Fiesta,1,1.4741,0.28041,fiesta
16,Fuego,0,1.2136,0.2494,incendio
17,Granjero,1,3.4814,0.92667,granja
18,Guerra,1,0.93678,0.27535,guerra
19,Laboratorio,1,1.5387,0.28356,ciencia
20,Lluvia,0,3.0333,0.26467,lluvia
21,Medico,0,1.0186,0.31416,medico
22,Navidad,1,2.11,0.41849,fiesta
23,Pintor,1,1.4499,0.85656,pintor
24,Plomero,0,1.7662,0.25563,plomero
25,Robo,1,2.5031,0.36373,banco
26,Television,1,1.1134,0.2101,television
