1,Test,0,2.4965,0.46892,desierto
2,Alcohol,0,7.4727,0.41425,aperitivo
3,Avion,0,1.7908,1.621,avion
4,Barco,1,2.8987,0.68713,marina
5,Biblioteca,0,2.5653,0.62292,arhicivo
6,Campo,0,5.6579,0.68896,tranquilidad
7,Cementerio,0,6.6845,0.34654,muerte
8,Circo,0,2.1101,0.5953,circo
9,Cocina,1,2.0893,0.67025,cocina
10,Comida,0,12.3091,0.2105,felicidad
11,Computadora,1,3.5093,0.7386,tecnologia
12,Desayuno,1,1.3652,0.35891,desayuno
13,Equipo,1,10.3458,0.30864,igualdad
14,Espacio,0,5.9599,0.98672,espacio
15,Fiesta,0,5.5225,0.75054,fiesta
16,Fuego,0,2.342,1.633,fuego
17,Granjero,1,6.8793,1.2682,comida
18,Guerra,1,2.762,1.139,guerra
19,Laboratorio,1,4.8947,0.53996,experimento
20,Lluvia,0,6.4481,0.7666,maldia
21,Medico,1,3.6853,0.56252,medicina
22,Navidad,0,1.518,0.54572,fin
23,Pintor,0,3.65,0.58367,graffiti
24,Plomero,1,2.9593,2.2423,
25,Robo,1,3.6184,0.28286,inglaterra
26,Television,1,2.6153,0.91107,inalabrico
